materia,classe,anno,titolo,keyword_wikipedia
matematica,prim,2,Divisione (introduzione),Divisione
matematica,prim,2,Tabelline 1-10,Tavola pitagorica
matematica,prim,2,Metà e doppio,Frazione
matematica,prim,2,Poligoni semplici,Poligono
matematica,prim,2,Perimetro di figure semplici,Perimetro
matematica,prim,3,Numeri fino a 1000,Sistema numerico decimale
matematica,prim,3,"Unità, decine, centinaia",Valore posizionale
matematica,prim,3,Operazioni a più cifre,Aritmetica
matematica,prim,3,Proprietà delle operazioni,Proprietà delle operazioni aritmetiche
matematica,prim,3,Divisione con resto,Divisione euclidea
matematica,prim,3,Frazioni (parti di un intero),Frazione
matematica,prim,3,Numeri pari e dispari,Parità (matematica)
matematica,prim,3,"Unità di misura (lunghezza, massa, capacità)",Unità di misura
matematica,prim,3,Area delle figure semplici,Area
matematica,prim,3,Solidi geometrici,Solido geometrico
matematica,prim,3,Angoli (introduzione),Angolo
matematica,prim,4,Numeri fino a 10.000,Sistema numerico decimale
matematica,prim,4,Moltiplicazioni e divisioni a più cifre,Algoritmo aritmetico
matematica,prim,4,Frazioni proprie e improprie,Frazione
matematica,prim,4,Numeri decimali,Numero decimale
matematica,prim,4,Operazioni con decimali,Aritmetica dei numeri decimali
matematica,prim,4,Percentuali (introduzione),Percentuale
matematica,prim,4,Multipli e divisori,Divisore (matematica)
matematica,prim,4,Numeri primi,Numero primo
matematica,prim,4,Massimo comune divisore (MCD),Massimo comune divisore
matematica,prim,4,Minimo comune multiplo (mcm),Minimo comune multiplo
matematica,prim,4,Circonferenza e cerchio,Circonferenza
matematica,prim,4,Simmetria,Simmetria
matematica,prim,4,Piano cartesiano (introduzione),Piano cartesiano
matematica,prim,4,"Unità di tempo (ora, minuto, secondo)",Unità di tempo
matematica,prim,5,Numeri naturali grandi,Numeri naturali
matematica,prim,5,Potenze,Potenza (matematica)
matematica,prim,5,Radice quadrata (introduzione),Radice quadrata
matematica,prim,5,Frazioni decimali,Numero decimale
matematica,prim,5,Operazioni con frazioni,Calcolo con frazioni
matematica,prim,5,Percentuali e proporzioni,Proporzione
matematica,prim,5,Problemi con più operazioni,Problema matematico
matematica,prim,5,Poligoni e diagonali,Poligono
matematica,prim,5,Area del cerchio,Area del cerchio
matematica,prim,5,Volume dei solidi,Volume
matematica,prim,5,Coordinate nel piano,Piano cartesiano
matematica,prim,5,Media aritmetica,Media aritmetica
matematica,prim,5,"Statistica di base (conteggi, grafici)",Statistica descrittiva
matematica,prim,5,Probabilità elementare,Probabilità
scienze,prim,1,I cinque sensi,Cinque sensi
scienze,prim,1,Il corpo umano (parti principali),Corpo umano
scienze,prim,1,Gli animali domestici,Animale domestico
scienze,prim,1,Le piante comuni,Pianta
scienze,prim,1,Le stagioni,Stagione
scienze,prim,2,Alimentazione e cibi,Alimentazione
scienze,prim,2,Ciclo dell’acqua,Ciclo dell'acqua
scienze,prim,2,L’acqua come risorsa,Acqua
scienze,prim,2,Materiali naturali e artificiali,Materiale (scienza)
scienze,prim,2,Animali selvatici,Animale selvatico
scienze,prim,2,"Parti della pianta (radici, fusto, foglie)",Morfologia vegetale
scienze,prim,3,Il sistema scheletrico,Scheletro umano
scienze,prim,3,Il sistema muscolare,Muscolo
scienze,prim,3,Il sistema respiratorio,Apparato respiratorio
scienze,prim,3,Il sistema circolatorio,Apparato circolatorio
scienze,prim,3,Ecosistemi,Ecosistema
scienze,prim,3,Catena alimentare,Catena alimentare
scienze,prim,3,Piante: fotosintesi clorofilliana,Fotosintesi clorofilliana
scienze,prim,4,Il sistema digerente,Apparato digerente
scienze,prim,4,Il sistema nervoso,Sistema nervoso
scienze,prim,4,Il sistema riproduttore,Apparato riproduttore
scienze,prim,4,Stati della materia,Stati della materia
scienze,prim,4,Forze e movimento,Forza (fisica)
scienze,prim,4,Terra e Sole,Terra
scienze,prim,4,Luna e fasi lunari,Luna
scienze,prim,4,Pianeti del sistema solare,Sistema solare
scienze,prim,5,Cellula (introduzione),Cellula
scienze,prim,5,DNA (introduzione),DNA
scienze,prim,5,Riproduzione delle piante,Riproduzione delle piante
scienze,prim,5,Inquinamento ambientale,Inquinamento
scienze,prim,5,Energia rinnovabile,Energia rinnovabile
scienze,prim,5,Clima e cambiamenti climatici,Cambiamento climatico
scienze,prim,5,Vulcani,Vulcano
scienze,prim,5,Terremoti,Terremoto
scienze,prim,5,Sistema solare (approfondimento),Sistema solare
scienze,prim,5,Stelle e galassie,Galassia
